disimage,PH,PA,PL,BH,BA,BL,MBH,MBA,MBL,GBH,GBA,GBL,GNH,GNA,GNL,SPH,SPA,SPL,PN,OR
2,3.064005,2.604765,2.279171,3.040164,2.724769,2.698941,3.222971,3.230992,2.725198,3.609854,3.567995,3.043133,2.915241,2.642713,2.513196,2.712092,2.710027,2.566189,2.40344,3.473684
4,3.510722,3.122173,2.277972,3.207952,3.197344,2.310375,3.412321,2.837299,2.403978,3.72764,3.640115,3.179395,3.378876,2.775535,2.419226,3.025861,2.866218,1.900292,1.68865,4.125
16,2.656893,2.410282,2.713452,3.07973,3.048291,2.579374,3.7037,3.309425,2.839601,4.030815,3.855881,3.751104,2.451023,2.761267,2.159731,2.563321,2.63831,2.038355,2.042777,3.866667
18,3.060255,2.621008,2.205271,3.195601,2.767173,2.369284,3.47348,3.194503,2.546055,3.928874,3.732267,3.542293,2.786899,2.573912,2.297515,2.759917,2.586725,2.191492,2.310752,3.684211
19,2.685823,2.143037,2.838817,2.707644,2.542678,2.35679,3.630954,3.231298,2.877355,4.1245,3.941079,3.57209,3.027115,2.545058,2.60202,2.719528,2.49077,2.319938,2.0422,4
20,2.713613,2.888691,2.351392,3.481927,3.342119,2.346995,3.58388,3.461507,3.174501,3.859848,3.978577,3.840593,2.921281,2.482866,2.521988,2.587534,2.001102,1.951608,1.676645,4.3
24,3.179243,2.660649,2.266387,3.024325,3.127473,2.7849,3.759071,3.413729,2.693975,3.866457,3.934543,3.4185,2.716003,2.571679,2.40812,2.916249,2.623285,2.246856,1.512739,4.705882
28,3.028993,2.934241,2.080908,2.973079,2.983487,2.616272,3.344083,3.094651,2.408588,3.684177,3.770718,3.498142,3.029167,2.973406,2.676056,3.057129,2.585869,2.35412,1.655062,3.733333
42,3.267961,2.947299,2.752001,3.036964,3.014906,2.374752,3.338589,2.805097,2.619762,3.637643,3.344887,2.637938,2.728581,2.821001,2.446952,2.489038,2.515136,2.729538,2.606539,3.6875
47,2.914408,2.74674,2.494838,3.324417,3.435789,2.906832,3.655136,3.109906,2.633921,3.8198,3.791806,3.340112,2.76812,2.081076,2.199092,2.583042,2.553432,2.076198,2.133962,4.117647
