Image,Subject,DMOS_PH,DMOS_PA,DMOS_PL,DMOS_BH,DMOS_BA,DMOS_BL,DMOS_MBH,DMOS_MBA,DMOS_MBL,DMOS_GBH,DMOS_GBA,DMOS_GBL,DMOS_GNH,DMOS_GNA,DMOS_GNL,DMOS_SPH,DMOS_SPA,DMOS_SPL,DMOS_PN,OR
2,1,3.120099674,1.251786593,3.120099674,4.054256215,3.120099674,2.185943134,4.054256215,4.054256215,3.120099674,4.054256215,4.054256215,2.185943134,2.185943134,2.185943134,2.185943134,3.120099674,3.120099674,2.185943134,1.251786593,4
2,2,3.45618974,2.048657213,1.34489095,3.45618974,2.752423477,2.752423477,4.159956004,3.45618974,3.45618974,4.159956004,4.159956004,4.159956004,2.048657213,2.752423477,2.048657213,2.752423477,2.752423477,2.048657213,1.34489095,5
2,3,3.377778072,2.548147977,1.718517881,1.718517881,1.718517881,3.377778072,2.548147977,2.548147977,2.548147977,4.207408167,1.718517881,1.718517881,4.207408167,4.207408167,3.377778072,3.377778072,2.548147977,4.207408167,2.548147977,2
2,4,4.377669798,4.377669798,2.451139906,1.48787496,1.48787496,3.414404852,3.414404852,2.451139906,2.451139906,2.451139906,2.451139906,2.451139906,4.377669798,2.451139906,3.414404852,3.414404852,3.414404852,2.451139906,1.48787496,2
2,5,2.94791732,4.092020752,2.94791732,5.236124184,2.94791732,2.94791732,2.94791732,4.092020752,1.803813888,1.803813888,1.803813888,2.94791732,2.94791732,1.803813888,2.94791732,1.803813888,2.94791732,2.94791732,1.803813888,4
2,6,2.833333333,2.833333333,1.591073346,2.833333333,2.833333333,4.075593321,4.075593321,4.075593321,2.833333333,4.075593321,4.075593321,2.833333333,1.591073346,1.591073346,1.591073346,2.833333333,2.833333333,2.833333333,1.591073346,3
2,7,2.548128743,1.683267842,0.8184069402,2.548128743,2.548128743,4.277850546,2.548128743,3.412989645,3.412989645,4.277850546,4.277850546,2.548128743,2.548128743,3.412989645,3.412989645,3.412989645,3.412989645,2.548128743,1.683267842,5
2,8,3.501191369,3.501191369,1.632878288,3.501191369,3.501191369,1.632878288,3.501191369,3.501191369,3.501191369,3.501191369,1.632878288,1.632878288,1.632878288,3.501191369,1.632878288,1.632878288,3.501191369,3.501191369,3.501191369,3
2,9,3.859066221,3.859066221,2.092925228,2.092925228,2.092925228,1.209854732,3.859066221,2.092925228,2.975995725,3.859066221,3.859066221,2.975995725,3.859066221,3.859066221,2.092925228,2.092925228,2.092925228,2.092925228,3.859066221,4
2,40,1.893186348,1.893186348,1.893186348,1.893186348,3.069224381,3.069224381,4.245262414,3.069224381,3.069224381,4.245262414,4.245262414,4.245262414,3.069224381,3.069224381,1.893186348,3.069224381,1.893186348,1.893186348,1.893186348,3
2,11,2.384922092,2.384922092,1.477385179,3.292459006,3.292459006,1.477385179,3.292459006,4.199995919,2.384922092,4.199995919,4.199995919,4.199995919,3.292459006,2.384922092,1.477385179,2.384922092,2.384922092,3.292459006,2.384922092,4
2,12,2.451019266,2.451019266,1.588356236,3.313682297,3.313682297,2.451019266,4.176345327,3.313682297,3.313682297,4.176345327,4.176345327,4.176345327,2.451019266,3.313682297,2.451019266,1.588356236,1.588356236,1.588356236,2.451019266,4
2,13,2.587024032,1.751489021,1.751489021,2.587024032,1.751489021,1.751489021,4.258094053,3.422559042,3.422559042,4.258094053,4.258094053,4.258094053,3.422559042,2.587024032,2.587024032,2.587024032,2.587024032,1.751489021,2.587024032,4
2,14,2.473526424,2.473526424,3.38362339,1.563429458,3.38362339,2.473526424,1.563429458,2.473526424,2.473526424,4.293720356,4.293720356,1.563429458,3.38362339,3.38362339,3.38362339,4.293720356,1.563429458,3.38362339,2.473526424,4
