Image,Subject,PH,PA,PL,BH,BA,BL,MBH,MBA,MBL,GBH,GBA,GBL,GNH,GNA,GNL,SPH,SPA,SPL,PN,OR
2,1,2,4,2,1,2,3,1,1,2,1,1,3,3,3,3,2,2,3,4,4
2,2,2,4,5,2,3,3,1,2,2,1,1,1,4,3,4,3,3,4,5,5
2,3,4,3,2,2,2,4,1,3,1,5,2,2,5,5,4,4,3,5,3,2
2,4,5,5,3,2,2,4,4,3,3,3,1,1,5,3,4,4,4,1,2,2
2,5,3,2,5,1,3,5,3,2,4,4,4,3,3,4,3,4,3,3,4,4
2,6,2,2,3,2,2,5,1,1,2,1,1,2,3,3,3,2,4,4,3,3
2,7,3,4,5,3,3,1,3,2,2,1,1,3,3,2,2,2,2,3,4,5
2,8,4,2,3,4,4,3,2,4,2,4,3,3,3,4,3,3,2,4,2,3
2,9,1,1,3,3,3,4,1,3,2,1,1,2,1,1,3,5,3,5,1,4
2,10,3,3,3,3,2,4,1,2,2,1,1,1,2,2,3,2,3,3,3,3
2,11,5,5,4,2,2,4,2,1,3,1,1,1,2,5,4,3,3,2,5,4
2,12,3,3,4,2,2,3,1,2,2,1,1,1,3,2,3,4,4,4,3,4
2,13,3,4,4,3,4,4,1,2,2,1,1,1,2,3,3,3,3,4,3,4
2,14,5,5,2,4,2,3,4,3,3,1,1,4,2,2,2,1,4,2,3,4
2,15,5,3,5,1,2,3,2,2,3,1,1,1,4,3,3,2,4,3,4,3
2,16,1,2,1,1,1,1,5,1,3,4,1,2,3,4,2,2,1,2,1,4
2,17,4,4,4,2,3,4,4,2,3,1,1,1,2,4,2,3,1,3,1,3
2,18,2,1,1,3,2,3,1,1,1,1,2,1,2,1,2,4,2,4,1,1
2,19,2,2,2,1,2,3,2,1,1,1,1,2,1,3,2,4,4,4,3,4
4,20,1,1,2,3,3,3,1,1,2,1,1,1,2,3,3,2,3,4,4,4
4,21,1,1,2,1,1,3,2,3,3,2,2,2,2,4,4,2,4,3,4,3
4,22,1,1,2,2,2,2,2,3,3,1,2,3,2,2,3,2,2,3,4,4
4,23,1,1,2,2,2,2,2,3,3,1,2,3,2,2,3,2,2,3,4,4
4,24,5,3,5,3,1,4,2,1,1,1,1,1,1,4,1,2,1,3,4,4
4,25,2,3,4,3,3,5,1,3,2,1,1,2,1,1,2,1,1,2,4,4
4,26,2,4,4,3,3,4,1,2,3,1,2,3,2,2,3,2,2,4,4,5
4,27,2,4,5,1,2,3,1,4,3,1,1,1,2,3,4,3,3,4,4,5
4,28,5,4,1,1,4,3,2,1,2,4,5,1,1,4,3,3,2,3,5,3
4,29,4,3,5,2,1,2,3,2,4,1,1,1,2,4,3,3,3,4,5,5
4,30,1,3,3,1,1,2,2,3,5,1,2,3,2,2,3,3,4,4,4,5
4,31,2,2,1,3,3,1,2,2,2,1,2,2,2,2,2,3,2,1,2,1
4,32,1,1,2,1,1,2,1,2,2,1,1,1,1,2,2,2,2,3,4,5
4,33,1,1,3,2,3,3,2,2,3,1,1,3,2,2,3,2,2,2,3,4
4,34,3,3,5,4,4,5,1,2,2,1,1,1,1,2,3,2,3,4,4,5
4,35,1,1,2,2,1,1,1,2,4,1,1,1,2,4,4,2,3,4,5,5
16,36,2,3,2,2,3,2,1,1,2,1,1,1,2,3,3,3,3,4,4,5
16,37,4,4,4,3,1,2,1,2,3,1,1,1,3,3,3,3,4,4,2,3
16,38,5,4,2,3,3,5,1,1,4,1,1,1,2,2,3,2,3,3,4,3
16,39,5,5,4,3,4,5,2,3,3,1,2,2,3,4,4,4,4,5,5,5
16,40,1,3,1,3,2,3,1,1,3,3,1,2,3,4,2,1,3,1,2,1
16,41,4,3,4,2,2,4,2,1,2,1,1,1,3,4,3,2,2,3,3,3
16,42,4,3,3,2,3,3,1,2,2,1,1,1,2,2,3,2,3,3,2,4
16,43,1,4,3,1,1,2,1,3,2,1,1,2,4,2,5,4,2,4,3,5
16,44,5,4,4,4,1,2,1,1,3,1,1,1,2,2,3,3,3,4,4,5
16,45,5,4,4,2,1,3,1,1,3,1,1,2,4,3,4,3,2,2,3,4
16,46,2,5,2,1,1,1,1,2,3,1,1,1,3,3,3,3,3,3,4,4
16,47,3,2,2,2,3,4,1,2,2,1,1,1,4,3,3,2,2,3,4,4
16,48,1,5,1,1,1,3,1,1,2,1,1,1,4,5,5,3,4,3,3,3
16,49,3,4,1,2,2,4,2,3,3,1,1,2,3,2,2,1,3,3,3,5
16,50,1,1,2,1,2,3,1,1,1,1,1,1,2,3,3,1,2,2,3,4
18,51,1,2,2,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2
18,52,2,4,3,2,2,2,1,1,1,1,2,1,3,3,3,3,1,4,4,2
18,53,1,2,3,3,3,3,1,2,2,1,2,2,2,3,4,3,1,3,4,4
18,54,2,5,4,4,5,5,2,2,3,1,1,1,3,3,3,3,3,4,4,5
18,55,5,4,4,3,5,5,1,2,2,1,1,1,3,3,4,2,4,4,2,4
