Image,Subject,MOS_PH,MOS_PA,MOS_PL,MOS_BH,MOS_BA,MOS_BL,MOS_MBH,MOS_MBA,MOS_MBL,MOS_GBH,MOS_GBA,MOS_GBL,MOS_GNH,MOS_GNA,MOS_GNL,MOS_SPH,MOS_SPA,MOS_SPL,MOS_PN,MOS_OR
2,1,1.275720317,1.474798541,1.275720317,1.176181205,1.275720317,1.375259429,1.176181205,1.176181205,1.275720317,1.176181205,1.176181205,1.375259429,1.375259429,1.375259429,1.375259429,1.275720317,1.275720317,1.375259429,1.474798541,1.474798541
2,2,1.24268544,1.393515587,1.468930661,1.24268544,1.318100514,1.318100514,1.167270366,1.24268544,1.24268544,1.167270366,1.167270366,1.167270366,1.393515587,1.318100514,1.393515587,1.318100514,1.318100514,1.393515587,1.468930661,1.468930661
2,3,1.380411808,1.302797584,1.225183359,1.225183359,1.225183359,1.380411808,1.147569134,1.302797584,1.147569134,1.458026033,1.225183359,1.225183359,1.458026033,1.458026033,1.380411808,1.380411808,1.302797584,1.458026033,1.302797584,1.225183359
2,4,1.463846448,1.463846448,1.306628559,1.228019615,1.228019615,1.385237503,1.385237503,1.306628559,1.306628559,1.306628559,1.14941067,1.14941067,1.463846448,1.306628559,1.385237503,1.385237503,1.385237503,1.14941067,1.228019615,1.228019615
2,5,1.273890285,1.169122511,1.483425834,1.064354737,1.273890285,1.483425834,1.273890285,1.169122511,1.378658059,1.378658059,1.378658059,1.273890285,1.273890285,1.378658059,1.273890285,1.378658059,1.273890285,1.273890285,1.378658059,1.378658059
2,6,1.268173161,1.268173161,1.362363928,1.268173161,1.268173161,1.55074546,1.173982395,1.173982395,1.268173161,1.173982395,1.173982395,1.268173161,1.362363928,1.362363928,1.362363928,1.268173161,1.456554694,1.456554694,1.362363928,1.362363928
2,7,1.337005633,1.425161055,1.513316477,1.337005633,1.337005633,1.160694789,1.337005633,1.248850211,1.248850211,1.160694789,1.160694789,1.337005633,1.337005633,1.248850211,1.248850211,1.248850211,1.248850211,1.337005633,1.425161055,1.513316477
2,8,1.42878179,1.166064493,1.297423141,1.42878179,1.42878179,1.297423141,1.166064493,1.42878179,1.166064493,1.42878179,1.297423141,1.297423141,1.297423141,1.42878179,1.297423141,1.297423141,1.166064493,1.42878179,1.166064493,1.297423141
2,9,1.206422309,1.206422309,1.355189019,1.355189019,1.355189019,1.429572375,1.206422309,1.355189019,1.280805664,1.206422309,1.206422309,1.280805664,1.206422309,1.206422309,1.355189019,1.50395573,1.355189019,1.50395573,1.206422309,1.429572375
2,10,1.387451073,1.387451073,1.387451073,1.387451073,1.269155586,1.50574656,1.150860098,1.269155586,1.269155586,1.150860098,1.150860098,1.150860098,1.269155586,1.269155586,1.387451073,1.269155586,1.387451073,1.387451073,1.387451073,1.387451073
2,11,1.455111831,1.455111831,1.384598258,1.243571112,1.243571112,1.384598258,1.243571112,1.173057539,1.314084685,1.173057539,1.173057539,1.173057539,1.243571112,1.455111831,1.384598258,1.314084685,1.314084685,1.243571112,1.455111831,1.384598258
2,12,1.348359045,1.348359045,1.442859141,1.253858948,1.253858948,1.348359045,1.159358852,1.253858948,1.253858948,1.159358852,1.159358852,1.159358852,1.348359045,1.253858948,1.348359045,1.442859141,1.442859141,1.442859141,1.348359045,1.442859141
2,13,1.333706708,1.426297514,1.426297514,1.333706708,1.426297514,1.426297514,1.148525095,1.241115901,1.241115901,1.148525095,1.148525095,1.148525095,1.241115901,1.333706708,1.333706708,1.333706708,1.333706708,1.426297514,1.333706708,1.426297514
2,14,1.486081397,1.486081397,1.241166433,1.404443076,1.241166433,1.322804754,1.404443076,1.322804754,1.322804754,1.159528112,1.159528112,1.404443076,1.241166433,1.241166433,1.241166433,1.159528112,1.404443076,1.241166433,1.322804754,1.404443076
2,15,1.496698577,1.331241181,1.496698577,1.165783785,1.248512483,1.331241181,1.248512483,1.248512483,1.331241181,1.165783785,1.165783785,1.165783785,1.413969879,1.331241181,1.331241181,1.248512483,1.413969879,1.331241181,1.413969879,1.331241181
2,16,1.222539526,1.302557235,1.222539526,1.222539526,1.222539526,1.222539526,1.542610363,1.222539526,1.382574945,1.462592654,1.222539526,1.302557235,1.382574945,1.462592654,1.302557235,1.302557235,1.222539526,1.302557235,1.222539526,1.462592654
2,17,1.432587236,1.432587236,1.432587236,1.258261193,1.345424215,1.432587236,1.432587236,1.258261193,1.345424215,1.171098172,1.171098172,1.171098172,1.258261193,1.432587236,1.258261193,1.345424215,1.171098172,1.345424215,1.171098172,1.345424215
2,18,1.331154825,1.228175732,1.228175732,1.434133917,1.331154825,1.434133917,1.228175732,1.228175732,1.228175732,1.228175732,1.331154825,1.228175732,1.331154825,1.228175732,1.331154825,1.537113009,1.331154825,1.537113009,1.228175732,1.228175732
2,19,1.287411305,1.287411305,1.287411305,1.194820498,1.287411305,1.380002111,1.287411305,1.194820498,1.194820498,1.194820498,1.194820498,1.287411305,1.194820498,1.380002111,1.287411305,1.472592918,1.472592918,1.472592918,1.380002111,1.472592918
4,20,1.194820498,1.194820498,1.287411305,1.380002111,1.380002111,1.380002111,1.194820498,1.194820498,1.287411305,1.194820498,1.194820498,1.194820498,1.287411305,1.380002111,1.380002111,1.287411305,1.380002111,1.472592918,1.472592918,1.472592918
4,21,1.167611803,1.167611803,1.266196081,1.167611803,1.167611803,1.364780359,1.266196081,1.364780359,1.364780359,1.266196081,1.266196081,1.266196081,1.266196081,1.463364637,1.463364637,1.266196081,1.463364637,1.364780359,1.463364637,1.364780359
4,22,1.154891182,1.154891182,1.274635662,1.274635662,1.274635662,1.274635662,1.274635662,1.394380142,1.394380142,1.154891182,1.274635662,1.394380142,1.274635662,1.274635662,1.394380142,1.274635662,1.274635662,1.394380142,1.514124622,1.514124622
4,23,1.154891182,1.154891182,1.274635662,1.274635662,1.274635662,1.274635662,1.274635662,1.394380142,1.394380142,1.154891182,1.274635662,1.394380142,1.274635662,1.274635662,1.394380142,1.274635662,1.274635662,1.394380142,1.514124622,1.514124622
4,24,1.489888258,1.35194268,1.489888258,1.35194268,1.213997101,1.420915469,1.28296989,1.213997101,1.213997101,1.213997101,1.213997101,1.213997101,1.213997101,1.420915469,1.213997101,1.28296989,1.213997101,1.35194268,1.420915469,1.420915469
4,25,1.285925998,1.368036026,1.450146055,1.368036026,1.368036026,1.532256083,1.203815969,1.368036026,1.285925998,1.203815969,1.203815969,1.285925998,1.203815969,1.203815969,1.285925998,1.203815969,1.203815969,1.285925998,1.450146055,1.450146055
4,26,1.235613488,1.422977284,1.422977284,1.329295386,1.329295386,1.422977284,1.14193159,1.235613488,1.329295386,1.14193159,1.235613488,1.329295386,1.235613488,1.235613488,1.329295386,1.235613488,1.235613488,1.422977284,1.422977284,1.516659182
4,27,1.249714926,1.401825126,1.477880226,1.173659826,1.249714926,1.325770026,1.173659826,1.401825126,1.325770026,1.173659826,1.173659826,1.173659826,1.249714926,1.325770026,1.401825126,1.325770026,1.325770026,1.401825126,1.401825126,1.477880226
4,28,1.466811135,1.394135726,1.1761095,1.1761095,1.394135726,1.321460318,1.248784909,1.1761095,1.248784909,1.394135726,1.466811135,1.1761095,1.1761095,1.394135726,1.321460318,1.321460318,1.248784909,1.321460318,1.466811135,1.321460318
4,29,1.393515587,1.318100514,1.468930661,1.24268544,1.167270366,1.24268544,1.318100514,1.24268544,1.393515587,1.167270366,1.167270366,1.167270366,1.24268544,1.393515587,1.318100514,1.318100514,1.318100514,1.393515587,1.468930661,1.468930661
