Images,PH,PA,PL,BH,BA,BL,MBH,MBA,MBL,GBH,GBA,GBL,GNH,GNA,GNL,SPH,SPA,SPL,PN,OR
2,1.350423,1.345009,1.359893,1.274955,1.29364,1.377325,1.256825,1.253501,1.273601,1.235287,1.200629,1.2403,1.320626,1.340563,1.330424,1.341161,1.330332,1.374035,1.330339,1.382313
4,1.263718,1.282453,1.348166,1.286912,1.295134,1.336812,1.241563,1.299509,1.341962,1.199106,1.239701,1.26783,1.248821,1.326971,1.352733,1.297356,1.31058,1.36942,1.446993,1.455439
16,1.360168,1.399872,1.31905,1.278556,1.272411,1.364671,1.196427,1.2373,1.311372,1.19178,1.18359,1.207164,1.347236,1.355936,1.373375,1.300516,1.34199,1.363254,1.375911,1.430604
18,1.308038,1.36671,1.40175,1.275625,1.311864,1.354664,1.214774,1.256605,1.30507,1.199439,1.195047,1.221737,1.293875,1.347682,1.368297,1.307776,1.312006,1.375842,1.390581,1.4038
19,1.325505,1.391599,1.376426,1.315862,1.359135,1.356772,1.208715,1.248633,1.279409,1.15612,1.175857,1.213057,1.300915,1.312614,1.333048,1.312952,1.32962,1.389185,1.405967,1.419786
20,1.316415,1.301146,1.353871,1.241496,1.257285,1.353647,1.232141,1.244748,1.273176,1.203239,1.192941,1.207392,1.297768,1.340146,1.334954,1.329186,1.386969,1.393128,1.420129,1.531402
24,1.280233,1.334194,1.374506,1.286292,1.277093,1.31045,1.211496,1.24646,1.320047,1.200931,1.194927,1.246809,1.316512,1.331664,1.349024,1.298384,1.328414,1.365044,1.438179,1.500521
28,1.311635,1.310762,1.380274,1.295467,1.307622,1.307475,1.235018,1.294523,1.349647,1.225939,1.218632,1.221717,1.267546,1.297876,1.335453,1.294941,1.308256,1.350967,1.431518,1.465911
42,1.251717,1.28814,1.355155,1.26033,1.32159,1.393353,1.312639,1.272136,1.303571,1.198652,1.215247,1.294312,1.319505,1.360452,1.353325,1.325843,1.29372,1.347321,1.38218,1.361994
47,1.293396,1.29812,1.338762,1.240026,1.228776,1.29163,1.208368,1.271544,1.316835,1.19405,1.195078,1.240024,1.32284,1.385229,1.37439,1.340485,1.409373,1.424085,1.409052,1.429119
